Keyword;Clicks;Impressions
baby doll;236;2 780
barbie doll;1 038;13 637
barbie doll house;297;3 791
barbie toys;66;936
black dolls;17;393
doll;250;2 867
doll clothes;17;243
doll house furniture;38;468
doll houses for sale;127;1 086
dollhouse;379;4 895
dolls;2 146;26 329
dolls house;727;9 641
educational toys for toddlers;37;496
monster high dolls;93;1 048
newborn baby dolls;36;497
porcelain dolls;19;197
real life baby dolls;51;477
real life dolls;29;281
realistic baby dolls;78;851
reborn babies for sale;15;168
reborn baby dolls for sale;17;159
reborn dolls;22;271
reborn dolls for sale;137;1 320
silicone baby dolls;11;94
wooden dolls house;21;206
